frame_id,timestamp_ms,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,detected
0,0,-0.0846,0.0607,7.4070,7.1389,0.0846,-0.6257,0.708,1
1,33,-0.0686,0.0632,7.3920,7.1239,0.0687,-0.6243,0.784,1
2,66,-0.0499,0.0657,7.3658,7.0985,0.0503,-0.6200,0.786,1
3,100,-0.0498,0.0655,7.3463,7.0782,0.0467,-0.6148,0.786,1
4,133,-0.0313,0.0678,7.3170,7.0520,0.0331,-0.6095,0.787,1
5,166,-0.0104,0.0676,7.2952,7.0288,0.0148,-0.6039,0.788,1
6,200,0.0052,0.0699,7.2644,7.0016,-0.0026,-0.5981,0.790,1
7,233,0.0155,0.0721,7.2271,6.9689,-0.0165,-0.5914,0.789,1
8,266,0.0154,0.0719,7.1994,6.9383,-0.0229,-0.5841,0.789,1
9,300,0.0256,0.0741,7.1646,6.9054,-0.0301,-0.5768,0.789,1
10,333,0.0407,0.0762,7.1247,6.8686,-0.0405,-0.5688,0.790,1
11,367,0.0429,0.0806,7.0675,6.8206,-0.0468,-0.5593,0.789,1
12,400,0.0500,0.0825,7.0116,6.7667,-0.0528,-0.5478,0.788,1
13,433,0.0497,0.0820,6.9703,6.7174,-0.0551,-0.5359,0.789,1
14,467,0.0544,0.0840,6.9264,6.6704,-0.0577,-0.5248,0.789,1
15,500,0.0589,0.0859,6.8808,6.6243,-0.0607,-0.5141,0.787,1
16,533,0.0634,0.0877,6.8341,6.5785,-0.0641,-0.5035,0.786,1
17,567,0.0581,0.0895,6.7868,6.5325,-0.0630,-0.4930,0.785,1
18,600,0.0578,0.0891,6.7518,6.4928,-0.0614,-0.4830,0.786,1
19,633,0.0599,0.0910,6.7133,6.4551,-0.0611,-0.4741,0.785,1
20,667,0.0618,0.0950,6.6602,6.4110,-0.0617,-0.4649,0.785,1
21,700,0.0613,0.0966,6.6089,6.3634,-0.0618,-0.4545,0.785,1
22,734,0.0656,0.0982,6.5591,6.3146,-0.0639,-0.4435,0.787,1
23,767,0.0652,0.0977,6.5222,6.2718,-0.0650,-0.4328,0.787,1
24,800,0.0647,0.1015,6.4717,6.2259,-0.0654,-0.4228,0.786,1
25,834,0.0642,0.1031,6.4229,6.1790,-0.0651,-0.4122,0.786,1
26,867,0.0637,0.1046,6.3756,6.1323,-0.0646,-0.4015,0.786,1
27,900,0.0632,0.1081,6.3186,6.0806,-0.0639,-0.3904,0.786,1
28,934,0.0627,0.1074,6.2764,6.0337,-0.0632,-0.3789,0.786,1
29,967,0.0601,0.1089,6.2344,5.9901,-0.0615,-0.3684,0.784,1
30,1001,0.0574,0.1124,6.1822,5.9431,-0.0590,-0.3581,0.786,1
31,1034,0.0547,0.1137,6.1333,5.8957,-0.0561,-0.3474,0.785,1
32,1067,0.0478,0.1150,6.0868,5.8493,-0.0509,-0.3366,0.786,1
33,1101,0.0475,0.1144,6.0524,5.8098,-0.0477,-0.3264,0.786,1
34,1134,0.0429,0.1178,6.0070,5.7688,-0.0438,-0.3172,0.786,1
35,1167,0.0341,0.1171,5.9733,5.7327,-0.0372,-0.3082,0.786,1
36,1201,0.0296,0.1205,5.9289,5.6939,-0.0311,-0.2997,0.787,1
37,1234,0.0168,0.1236,5.8769,5.6491,-0.0213,-0.2905,0.788,1
38,1267,0.0209,0.1228,5.8386,5.6076,-0.0179,-0.2804,0.787,1
39,1301,0.0083,0.1241,5.8008,5.5686,-0.0102,-0.2711,0.787,1
40,1334,0.0185,0.1254,5.7636,5.5314,-0.0115,-0.2622,0.782,1
41,1368,0.0164,0.1266,5.7270,5.4956,-0.0122,-0.2538,0.782,1
42,1401,0.0244,0.1278,5.6909,5.4607,-0.0174,-0.2456,0.778,1
43,1434,0.0243,0.1272,5.6641,5.4311,-0.0211,-0.2379,0.778,1
44,1468,0.0362,0.1286,5.6354,5.4035,-0.0296,-0.2312,0.773,1
45,1501,0.0440,0.1299,5.6054,5.3762,-0.0389,-0.2249,0.769,1
46,1534,0.0439,0.1276,5.5917,5.3572,-0.0442,-0.2191,0.766,1
47,1568,0.0438,0.1292,5.5729,5.3403,-0.0467,-0.2148,0.764,1
48,1601,0.0437,0.1288,5.5589,5.3268,-0.0474,-0.2111,0.764,1
49,1634,0.0575,0.1286,5.5484,5.3167,-0.0541,-0.2081,0.760,1
50,1668,0.0632,0.1302,5.5321,5.3051,-0.0610,-0.2057,0.756,1
51,1701,0.0710,0.1299,5.5199,5.2943,-0.0687,-0.2031,0.757,1
52,1735,0.0787,0.1297,5.5108,5.2852,-0.0768,-0.2007,0.753,1
53,1768,0.0786,0.1295,5.5040,5.2782,-0.0810,-0.1987,0.753,1
54,1801,0.0904,0.1294,5.4989,5.2731,-0.0887,-0.1971,0.752,1
55,1835,0.1021,0.1293,5.4950,5.2695,-0.0987,-0.1960,0.749,1
56,1868,0.1136,0.1310,5.4837,5.2628,-0.1101,-0.1950,0.749,1
57,1901,0.1135,0.1308,5.4753,5.2555,-0.1162,-0.1934,0.749,1
58,1935,0.1133,0.1307,5.4691,5.2487,-0.1186,-0.1918,0.749,1
59,1968,0.1171,0.1306,5.4643,5.2431,-0.1208,-0.1903,0.749,1
60,2002,0.1249,0.1305,5.4608,5.2388,-0.1252,-0.1891,0.749,1
61,2035,0.1248,0.1304,5.4581,5.2358,-0.1273,-0.1881,0.749,1
62,2068,0.1286,0.1304,5.4561,5.2338,-0.1298,-0.1875,0.749,1
63,2102,0.1286,0.1303,5.4546,5.2326,-0.1308,-0.1870,0.749,1
64,2135,0.1327,0.1285,5.4617,5.2361,-0.1330,-0.1870,0.749,1
65,2168,0.1328,0.1287,5.4670,5.2416,-0.1341,-0.1879,0.749,1
66,2202,0.1329,0.1288,5.4710,5.2472,-0.1344,-0.1891,0.749,1
67,2235,0.1291,0.1288,5.4740,5.2521,-0.1324,-0.1904,0.749,1
68,2268,0.1291,0.1289,5.4763,5.2560,-0.1308,-0.1915,0.749,1
69,2302,0.1292,0.1289,5.4780,5.2588,-0.1298,-0.1923,0.749,1
70,2335,0.1253,0.1290,5.4793,5.2606,-0.1272,-0.1929,0.749,1
71,2369,0.1216,0.1272,5.4885,5.2661,-0.1237,-0.1935,0.749,1
72,2402,0.1178,0.1274,5.4955,5.2726,-0.1197,-0.1948,0.749,1
73,2435,0.1179,0.1275,5.5008,5.2789,-0.1174,-0.1963,0.749,1
74,2469,0.1103,0.1258,5.5131,5.2885,-0.1125,-0.1979,0.749,1
75,2502,0.1026,0.1260,5.5224,5.2985,-0.1058,-0.2002,0.749,1
76,2535,0.0930,0.1244,5.5379,5.3118,-0.0970,-0.2026,0.749,1
77,2569,0.0754,0.1229,5.5581,5.3294,-0.0830,-0.2059,0.749,1
78,2602,0.0756,0.1232,5.5734,5.3468,-0.0750,-0.2099,0.749,1
79,2635,0.0598,0.1235,5.5849,5.3618,-0.0631,-0.2138,0.749,1
80,2669,0.0360,0.1218,5.6022,5.3780,-0.0445,-0.2174,0.749,1
81,2702,0.0221,0.1203,5.6240,5.3973,-0.0268,-0.2213,0.749,1
82,2736,0.0040,0.1188,5.6493,5.4200,-0.0081,-0.2259,0.749,1
83,2769,0.0041,0.1192,5.6683,5.4416,0.0017,-0.2311,0.749,1
84,2802,-0.0122,0.1177,5.6917,5.4643,0.0138,-0.2361,0.749,1
85,2836,-0.0327,0.1162,5.7182,5.4892,0.0299,-0.2415,0.749,1
86,2869,-0.0657,0.1148,5.7474,5.5168,0.0552,-0.2474,0.749,1
87,2902,-0.0825,0.1133,5.7786,5.5467,0.0780,-0.2539,0.749,1
88,2936,-0.0829,0.1138,5.8023,5.5739,0.0900,-0.2606,0.749,1
89,2969,-0.1124,0.1122,5.8294,5.6011,0.1098,-0.2669,0.749,1
90,3003,-0.1339,0.1107,5.8593,5.6294,0.1309,-0.2732,0.749,1
91,3036,-0.1725,0.1092,5.8914,5.6596,0.1615,-0.2799,0.749,1
92,3069,-0.1989,0.1078,5.9252,5.6917,0.1919,-0.2870,0.749,1
93,3103,-0.1998,0.1082,5.9508,5.7206,0.2083,-0.2942,0.749,1
94,3136,-0.2221,0.1066,5.9799,5.7492,0.2263,-0.3008,0.749,1
95,3169,-0.2534,0.1051,6.0116,5.7790,0.2504,-0.3075,0.749,1
96,3203,-0.2812,0.1015,6.0557,5.8159,0.2769,-0.3148,0.749,1
97,3236,-0.3137,0.1001,6.0992,5.8568,0.3073,-0.3236,0.749,1
98,3269,-0.3154,0.1006,6.1322,5.8946,0.3240,-0.3328,0.749,1
99,3303,-0.3437,0.0990,6.1675,5.9311,0.3452,-0.3414,0.749,1
100,3336,-0.3769,0.0974,6.2045,5.9676,0.3723,-0.3498,0.749,1
101,3370,-0.4262,0.0958,6.2429,6.0046,0.4116,-0.3583,0.749,1
102,3403,-0.4544,0.0921,6.2935,6.0484,0.4477,-0.3673,0.749,1
103,3436,-0.4572,0.0927,6.3320,6.0899,0.4679,-0.3771,0.749,1
104,3470,-0.4875,0.0910,6.3721,6.1306,0.4914,-0.3867,0.749,1
105,3503,-0.5274,0.0893,6.4134,6.1713,0.5227,-0.3960,0.749,1
106,3536,-0.5667,0.0855,6.4674,6.2184,0.5589,-0.4059,0.749,1
107,3570,-0.6017,0.0839,6.5197,6.2687,0.5958,-0.4169,0.749,1
108,3603,-0.6054,0.0844,6.5596,6.3140,0.6167,-0.4281,0.749,1
109,3636,-0.6472,0.0826,6.6013,6.3571,0.6464,-0.4384,0.749,1
110,3670,-0.6801,0.0808,6.6446,6.3994,0.6779,-0.4482,0.749,1
111,3703,-0.7173,0.0767,6.7018,6.4485,0.7127,-0.4585,0.749,1
112,3737,-0.7598,0.0749,6.7573,6.5011,0.7522,-0.4701,0.749,1
113,3770,-0.7596,0.0754,6.7997,6.5487,0.7727,-0.4817,0.749,1
114,3803,-0.8090,0.0735,6.8440,6.5941,0.8058,-0.4925,0.749,1
115,3837,-0.8543,0.0715,6.8900,6.6389,0.8456,-0.5029,0.749,1
116,3870,-0.8995,0.0672,6.9509,6.6910,0.8898,-0.5138,0.749,1
117,3903,-0.9351,0.0653,7.0103,6.7471,0.9312,-0.5260,0.749,1
118,3937,-0.9411,0.0657,7.0555,6.7981,0.9551,-0.5385,0.749,1
119,3970,-0.9886,0.0636,7.1030,6.8467,0.9887,-0.5500,0.749,1
120,4004,-1.0266,0.0615,7.1525,6.8948,1.0245,-0.5611,0.749,1
121,4037,-1.0753,0.0569,7.2180,6.9510,1.0673,-0.5728,0.749,1
122,4070,-1.1166,0.0548,7.2819,7.0114,1.1107,-0.5861,0.749,1
123,4104,-1.1240,0.0552,7.3306,7.0663,1.1367,-0.5994,0.749,1
124,4137,-1.1668,0.0529,7.3818,7.1188,1.1691,-0.6118,0.749,1
125,4170,-1.2105,0.0507,7.4352,7.1707,1.2069,-0.6238,0.749,1
126,4204,-1.2604,0.0376,7.4904,7.2247,1.2515,-0.6304,0.749,1
127,4237,-1.3003,0.0352,7.5474,7.2797,1.2953,-0.6390,0.749,1
128,4270,-1.3077,0.0354,7.5906,7.3281,1.3212,-0.6488,0.749,1
129,4304,-1.3943,0.0302,7.6539,7.3829,1.3760,-0.6594,0.748,1
130,4337,-1.4314,0.0277,7.7180,7.4420,1.4249,-0.6720,0.751,1
131,4371,-1.4891,0.0251,7.7823,7.5040,1.4794,-0.6857,0.755,1
132,4404,-1.5103,0.0225,7.8480,7.5683,1.5185,-0.7004,0.756,1
133,4437,-1.5257,0.0227,7.8980,7.6255,1.5440,-0.7147,0.757,1
134,4471,-1.5597,0.0200,7.9527,7.6803,1.5707,-0.7278,0.762,1
135,4504,-1.5954,0.0144,8.0293,7.7451,1.6001,-0.7415,0.764,1
136,4537,-1.6307,0.0145,8.0872,7.8065,1.6317,-0.7561,0.767,1
137,4571,-1.6702,0.0117,8.1487,7.8675,1.6671,-0.7701,0.770,1
138,4604,-1.6798,0.0117,8.1955,7.9206,1.6901,-0.7832,0.770,1
139,4637,-1.7464,0.0059,8.2673,7.9814,1.7331,-0.7961,0.768,1
140,4671,-1.7897,0.0029,8.3405,8.0479,1.7784,-0.8105,0.768,1
141,4704,-1.8431,-0.0001,8.4148,8.1186,1.8295,-0.8259,0.769,1
142,4738,-1.8961,-0.0063,8.4701,8.1831,1.8837,-0.8383,0.772,1
143,4771,-1.9055,-0.0063,8.5121,8.2360,1.9179,-0.8495,0.773,1
144,4804,-1.9488,-0.0094,8.5633,8.2856,1.9547,-0.8599,0.773,1
145,4838,-1.9974,-0.0126,8.6216,8.3371,1.9962,-0.8706,0.773,1
146,4871,-2.0769,-0.0222,8.6848,8.3935,2.0562,-0.8794,0.767,1
147,4904,-2.1259,-0.0255,8.7531,8.4550,2.1140,-0.8905,0.766,1
148,4938,-2.1386,-0.0193,8.8050,8.5113,2.1521,-0.9056,0.766,1
149,4971,-2.1830,-0.0291,8.8652,8.5695,2.1913,-0.9171,0.767,1
150,5005,-2.2164,-0.0326,8.9325,8.6315,2.2265,-0.9297,0.770,1
151,5038,-2.2491,-0.0328,8.9830,8.6880,2.2591,-0.9426,0.772,1
152,5071,-2.2948,-0.0363,9.0430,8.7453,2.2964,-0.9552,0.772,1
153,5105,-2.3063,-0.0365,9.0885,8.7963,2.3214,-0.9674,0.773,1
154,5138,-2.3448,-0.0400,9.1455,8.8484,2.3506,-0.9791,0.774,1
155,5171,-2.3895,-0.0437,9.2113,8.9057,2.3862,-0.9916,0.774,1
156,5205,-2.4260,-0.0474,9.2848,8.9700,2.4226,-1.0054,0.776,1
157,5238,-2.4616,-0.0477,9.3399,9.0308,2.4591,-1.0195,0.775,1
158,5271,-2.4726,-0.0479,9.3816,9.0828,2.4843,-1.0323,0.776,1
159,5305,-2.5051,-0.0517,9.4374,9.1349,2.5113,-1.0441,0.777,1
160,5338,-2.5199,-0.0519,9.4796,9.1812,2.5320,-1.0553,0.775,1
161,5372,-2.5458,-0.0557,9.5364,9.2303,2.5535,-1.0661,0.775,1
162,5405,-2.5645,-0.0560,9.5792,9.2754,2.5727,-1.0767,0.772,1
163,5438,-2.5732,-0.0561,9.6116,9.3133,2.5861,-1.0861,0.773,1
164,5472,-2.5939,-0.0600,9.6618,9.3545,2.6012,-1.0951,0.773,1
165,5505,-2.6077,-0.0602,9.6997,9.3929,2.6148,-1.1040,0.771,1
166,5538,-2.6299,-0.0641,9.7546,9.4372,2.6312,-1.1134,0.770,1
167,5572,-2.6447,-0.0644,9.7960,9.4798,2.6469,-1.1232,0.770,1
168,5605,-2.6532,-0.0646,9.8273,9.5169,2.6591,-1.1322,0.770,1
169,5638,-2.6743,-0.0685,9.8779,9.5587,2.6744,-1.1412,0.767,1
170,5672,-2.6884,-0.0688,9.9161,9.5984,2.6893,-1.1503,0.767,1
171,5705,-2.7150,-0.0728,9.9722,9.6445,2.7091,-1.1601,0.765,1
172,5739,-2.7303,-0.0731,10.0146,9.6893,2.7276,-1.1703,0.765,1
173,5772,-2.7390,-0.0734,10.0467,9.7285,2.7423,-1.1797,0.765,1
174,5805,-2.7494,-0.0735,10.0707,9.7601,2.7547,-1.1877,0.763,1
175,5839,-2.7621,-0.0776,10.1174,9.7965,2.7666,-1.1954,0.762,1
176,5872,-2.7718,-0.0778,10.1527,9.8314,2.7770,-1.2035,0.762,1
177,5905,-2.7790,-0.0780,10.1793,9.8619,2.7855,-1.2108,0.761,1
178,5939,-2.7845,-0.0782,10.1994,9.8865,2.7919,-1.2170,0.761,1
179,5972,-2.7886,-0.0783,10.2145,9.9052,2.7965,-1.2218,0.761,1
180,6006,-2.7956,-0.0784,10.2257,9.9183,2.8011,-1.2254,0.761,1
181,6039,-2.7979,-0.0785,10.2341,9.9269,2.8041,-1.2277,0.761,1
182,6072,-2.8076,-0.0825,10.2699,9.9446,2.8093,-1.2309,0.761,1
183,6106,-2.8150,-0.0827,10.2969,9.9655,2.8152,-1.2353,0.761,1
184,6139,-2.8245,-0.0829,10.3171,9.9861,2.8226,-1.2400,0.761,1
185,6172,-2.8286,-0.0830,10.3323,10.0043,2.8289,-1.2443,0.762,1
186,6206,-2.8317,-0.0831,10.3437,10.0191,2.8337,-1.2480,0.762,1
187,6239,-2.8341,-0.0831,10.3523,10.0305,2.8373,-1.2509,0.762,1
188,6272,-2.8359,-0.0832,10.3588,10.0386,2.8398,-1.2530,0.762,1
189,6306,-2.8372,-0.0832,10.3636,10.0439,2.8413,-1.2545,0.762,1
190,6339,-2.8382,-0.0833,10.3672,10.0471,2.8421,-1.2555,0.761,1
191,6373,-2.8389,-0.0833,10.3700,10.0488,2.8425,-1.2560,0.761,1
192,6406,-2.8395,-0.0833,10.3720,10.0494,2.8425,-1.2562,0.761,1
193,6439,-2.8399,-0.0833,10.3736,10.0493,2.8423,-1.2563,0.761,1
194,6473,-2.8402,-0.0833,10.3747,10.0488,2.8421,-1.2562,0.761,1
195,6506,-2.8366,-0.0833,10.3757,10.0483,2.8402,-1.2561,0.760,1
196,6539,-2.8368,-0.0833,10.3765,10.0478,2.8388,-1.2560,0.760,1
197,6573,-2.8369,-0.0833,10.3771,10.0474,2.8378,-1.2559,0.760,1
198,6606,-2.8370,-0.0833,10.3775,10.0470,2.8372,-1.2558,0.760,1
199,6639,-2.8332,-0.0833,10.3779,10.0468,2.8352,-1.2558,0.759,1
200,6673,-2.8333,-0.0833,10.3783,10.0468,2.8339,-1.2558,0.759,1
201,6706,-2.8334,-0.0833,10.3786,10.0468,2.8331,-1.2558,0.759,1
202,6740,-2.8335,-0.0833,10.3788,10.0468,2.8327,-1.2558,0.759,1
203,6773,-2.8335,-0.0833,10.3789,10.0469,2.8326,-1.2558,0.759,1
204,6806,-2.8335,-0.0833,10.3790,10.0470,2.8326,-1.2558,0.759,1
205,6840,-2.8336,-0.0833,10.3791,10.0471,2.8328,-1.2558,0.759,1
206,6873,-2.8336,-0.0833,10.3792,10.0471,2.8329,-1.2558,0.759,1
207,6906,-2.8336,-0.0833,10.3792,10.0472,2.8331,-1.2558,0.759,1
208,6940,-2.8336,-0.0833,10.3793,10.0472,2.8333,-1.2559,0.759,1
209,6973,-2.8336,-0.0833,10.3793,10.0472,2.8334,-1.2559,0.759,1
210,7007,-2.8336,-0.0833,10.3793,10.0473,2.8335,-1.2559,0.759,1
211,7040,-2.8336,-0.0833,10.3793,10.0473,2.8336,-1.2559,0.759,1
212,7073,-2.8336,-0.0833,10.3793,10.0473,2.8336,-1.2559,0.759,1
213,7107,-2.8336,-0.0833,10.3793,10.0473,2.8336,-1.2559,0.759,1
214,7140,-2.8336,-0.0833,10.3793,10.0473,2.8337,-1.2559,0.759,1
215,7173,-2.8336,-0.0833,10.3793,10.0473,2.8337,-1.2559,0.759,1
216,7207,-2.8336,-0.0833,10.3793,10.0473,2.8337,-1.2559,0.759,1
217,7240,-2.8336,-0.0833,10.3793,10.0473,2.8337,-1.2559,0.759,1
218,7273,-2.8336,-0.0833,10.3793,10.0473,2.8336,-1.2559,0.759,1
219,7307,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
220,7340,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
221,7374,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
222,7407,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
223,7440,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
224,7474,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
225,7507,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
226,7540,-2.8336,-0.0833,10.3794,10.0473,2.8336,-1.2559,0.759,1
227,7574,-2.8375,-0.0834,10.3792,10.0472,2.8353,-1.2558,0.762,1
228,7607,-2.8375,-0.0834,10.3791,10.0471,2.8365,-1.2558,0.761,1
229,7640,-2.8375,-0.0834,10.3790,10.0470,2.8373,-1.2558,0.762,1
230,7674,-2.8374,-0.0834,10.3790,10.0469,2.8377,-1.2558,0.763,1
231,7707,-2.8374,-0.0834,10.3789,10.0468,2.8380,-1.2558,0.763,1
232,7741,-2.8292,-0.0944,10.3487,10.0355,2.8345,-1.2478,0.763,1
233,7774,-2.8230,-0.0942,10.3262,10.0180,2.8292,-1.2396,0.763,1
234,7807,-2.8145,-0.0940,10.3095,9.9988,2.8219,-1.2323,0.765,1
235,7841,-2.8192,-0.0980,10.3268,9.9936,2.8189,-1.2278,0.765,1
236,7874,-2.8228,-0.0981,10.3398,9.9967,2.8187,-1.2267,0.766,1
237,7907,-2.8255,-0.0982,10.3496,10.0044,2.8202,-1.2276,0.766,1
238,7941,-2.8275,-0.0982,10.3570,10.0139,2.8225,-1.2296,0.766,1
239,7974,-2.8290,-0.0983,10.3625,10.0234,2.8250,-1.2321,0.766,1
240,8008,-2.8223,-0.0983,10.3669,10.0320,2.8241,-1.2345,0.764,1
241,8041,-2.8232,-0.0984,10.3703,10.0392,2.8238,-1.2367,0.765,1
242,8074,-2.8239,-0.0984,10.3728,10.0446,2.8238,-1.2385,0.765,1
243,8108,-2.8244,-0.0984,10.3747,10.0486,2.8240,-1.2398,0.766,1
244,8141,-2.8248,-0.0984,10.3761,10.0512,2.8244,-1.2408,0.766,1
245,8174,-2.8251,-0.0984,10.3771,10.0528,2.8248,-1.2414,0.766,1
246,8208,-2.8253,-0.0984,10.3779,10.0536,2.8251,-1.2418,0.766,1
247,8241,-2.8255,-0.0984,10.3785,10.0538,2.8254,-1.2420,0.765,1
248,8274,-2.8213,-0.0944,10.3487,10.0408,2.8238,-1.2403,0.764,1
249,8308,-2.8114,-0.0942,10.3266,10.0218,2.8183,-1.2367,0.762,1
250,8341,-2.7991,-0.0940,10.3104,10.0016,2.8091,-1.2323,0.761,1
251,8375,-2.7958,-0.0939,10.2983,9.9830,2.8013,-1.2279,0.761,1
252,8408,-2.7934,-0.0938,10.2893,9.9673,2.7952,-1.2241,0.761,1
253,8441,-2.7761,-0.0938,10.2830,9.9552,2.7840,-1.2211,0.761,1
254,8475,-2.7594,-0.0937,10.2790,9.9469,2.7696,-1.2189,0.760,1
255,8508,-2.7586,-0.0937,10.2759,9.9415,2.7598,-1.2175,0.760,1
256,8541,-2.7580,-0.0936,10.2736,9.9385,2.7539,-1.2166,0.760,1
257,8575,-2.7344,-0.0936,10.2728,9.9375,2.7408,-1.2162,0.760,1
258,8608,-2.7150,-0.0936,10.2729,9.9381,2.7243,-1.2163,0.760,1
259,8641,-2.7035,-0.0936,10.2733,9.9396,2.7088,-1.2166,0.762,1
260,8675,-2.6844,-0.0935,10.2744,9.9419,2.6912,-1.2172,0.761,1
261,8708,-2.6846,-0.0936,10.2752,9.9442,2.6804,-1.2178,0.762,1
262,8742,-2.6655,-0.0935,10.2765,9.9467,2.6666,-1.2184,0.761,1
263,8775,-2.6350,-0.0935,10.2786,9.9494,2.6455,-1.2191,0.763,1
264,8808,-2.6201,-0.0935,10.2807,9.9522,2.6258,-1.2199,0.761,1
265,8842,-2.6013,-0.0935,10.2829,9.9550,2.6058,-1.2206,0.760,1
266,8875,-2.6017,-0.0935,10.2846,9.9575,2.5941,-1.2213,0.761,1
267,8908,-2.5829,-0.0935,10.2866,9.9598,2.5802,-1.2219,0.759,1
268,8942,-2.5488,-0.0935,10.2892,9.9623,2.5580,-1.2226,0.760,1
269,8975,-2.5339,-0.0935,10.2918,9.9648,2.5378,-1.2233,0.761,1
270,9009,-2.4694,-0.0934,10.2959,9.9680,2.4982,-1.2242,0.766,1
271,9042,-2.4701,-0.0935,10.2989,9.9713,2.4725,-1.2250,0.768,1
272,9075,-2.4407,-0.0895,10.2725,9.9618,2.4450,-1.2243,0.766,1
273,9109,-2.4201,-0.0932,10.2829,9.9593,2.4199,-1.2232,0.764,1
274,9142,-2.3923,-0.0893,10.2621,9.9484,2.3937,-1.2217,0.763,1
275,9175,-2.3621,-0.0892,10.2473,9.9346,2.3656,-1.2190,0.763,1
276,9209,-2.3595,-0.0891,10.2363,9.9205,2.3481,-1.2160,0.763,1
277,9242,-2.3236,-0.0890,10.2292,9.9084,2.3240,-1.2132,0.762,1
278,9275,-2.2921,-0.0889,10.2248,9.8991,2.2967,-1.2109,0.762,1
279,9309,-2.2612,-0.0888,10.2224,9.8929,2.2672,-1.2094,0.763,1
280,9342,-2.2307,-0.0888,10.2216,9.8895,2.2366,-1.2085,0.764,1
281,9376,-2.2305,-0.0888,10.2210,9.8881,2.2185,-1.2081,0.764,1
282,9409,-2.1890,-0.0887,10.2217,9.8885,2.1916,-1.2081,0.763,1
283,9442,-2.1553,-0.0887,10.2233,9.8903,2.1615,-1.2085,0.764,1
284,9476,-2.1254,-0.0887,10.2254,9.8931,2.1308,-1.2092,0.764,1
285,9509,-2.0786,-0.0847,10.1992,9.8841,2.0924,-1.2085,0.763,1
286,9542,-2.0746,-0.0846,10.1796,9.8695,2.0673,-1.2059,0.764,1
287,9576,-2.0455,-0.0844,10.1657,9.8537,2.0414,-1.2026,0.763,1
288,9609,-2.0136,-0.0843,10.1562,9.8392,2.0133,-1.1993,0.761,1
289,9642,-1.9787,-0.0842,10.1499,9.8275,1.9823,-1.1966,0.761,1
290,9676,-1.8925,-0.0841,10.1476,9.8197,1.9269,-1.1947,0.769,1
291,9709,-1.8921,-0.0841,10.1458,9.8150,1.8913,-1.1934,0.771,1
292,9743,-1.8622,-0.0841,10.1452,9.8129,1.8583,-1.1929,0.767,1
293,9776,-1.8251,-0.0840,10.1457,9.8129,1.8240,-1.1928,0.765,1
294,9809,-1.7882,-0.0840,10.1470,9.8145,1.7887,-1.1931,0.767,1
